Data,Produto,Quantidade,Preço Unitário,Total Venda,Estação
2024-01-01,Chinelo,1,612.14,918.21,Verão
2024-01-01,Cera para Prancha,1,871.87,1307.81,Verão
2024-01-01,Roupa de Neoprene,1,1111.46,1667.19,Verão
2024-01-01,Bermuda de Surf,2,947.47,2842.41,Verão
2024-01-01,Bermuda de Surf,1,176.79,265.19,Verão
2024-01-01,Mochila Impermeável,4,1357.58,8145.48,Verão
2024-01-01,Bermuda de Surf,4,1075.64,6453.84,Verão
2024-01-01,Boné,5,1476.21,11071.58,Verão
2024-01-01,Prancha de Surf,3,950.08,4275.36,Verão
2024-01-01,Chinelo,1,100.34,150.51,Verão
2024-01-01,Chinelo,4,1566.92,9401.52,Verão
2024-01-01,Roupa de Neoprene,4,132.09,792.54,Verão
2024-01-01,Roupa de Neoprene,4,679.16,4074.96,Verão
2024-01-01,Chinelo,2,353.81,1061.43,Verão
2024-01-01,Chinelo,2,1278.77,3836.31,Verão
2024-01-01,Roupa de Neoprene,2,914.71,2744.13,Verão
2024-01-01,Óculos de Sol,2,1625.41,4876.23,Verão
2024-01-01,Prancha de Surf,3,1667.37,7503.16,Verão
2024-01-01,Cera para Prancha,5,952.96,7147.2,Verão
2024-01-01,Rash Guard,5,433.56,3251.7,Verão
2024-01-01,Cera para Prancha,2,356.38,1069.14,Verão
2024-01-01,Prancha de Surf,5,1902.89,14271.68,Verão
2024-01-01,Capa de Prancha,1,663.83,995.75,Verão
2024-01-01,Camisa UV,1,693.62,1040.43,Verão
2024-01-01,Mochila Impermeável,3,229.53,1032.88,Verão
2024-01-01,Cera para Prancha,4,997.05,5982.3,Verão
2024-01-01,Óculos de Sol,5,1389.36,10420.2,Verão
2024-01-01,Roupa de Neoprene,3,1384.58,6230.61,Verão
2024-01-01,Óculos de Sol,1,963.09,1444.63,Verão
2024-01-01,Mochila Impermeável,1,223.45,335.17,Verão
2024-01-01,Óculos de Sol,5,585.19,4388.93,Verão
2024-01-01,Cera para Prancha,5,130.92,981.9,Verão
2024-01-01,Boné,3,279.13,1256.09,Verão
2024-01-01,Boné,4,1518.19,9109.14,Verão
2024-01-01,Deck de Prancha,1,676.94,1015.41,Verão
2024-01-01,Capa de Prancha,3,1897.93,8540.68,Verão
2024-01-01,Leash,1,147.87,221.81,Verão
2024-01-01,Mochila Impermeável,4,1308.65,7851.9,Verão
2024-01-01,Bermuda de Surf,3,1636.9,7366.05,Verão
2024-01-02,Bermuda de Surf,5,172.35,1292.62,Verão
2024-01-02,Boné,3,1926.22,8667.99,Verão
2024-01-02,Óculos de Sol,4,249.85,1499.1,Verão
2024-01-02,Mochila Impermeável,4,217.39,1304.34,Verão
2024-01-02,Chinelo,1,1095.55,1643.32,Verão
2024-01-02,Óculos de Sol,1,1788.19,2682.28,Verão
2024-01-02,Prancha de Surf,4,865.65,5193.9,Verão
2024-01-02,Camisa UV,3,803.6,3616.2,Verão
2024-01-02,Bermuda de Surf,4,1380.39,8282.34,Verão
2024-01-02,Roupa de Neoprene,4,1982.56,11895.36,Verão
2024-01-02,Camisa UV,3,811.93,3653.68,Verão
2024-01-02,Chinelo,3,1303.08,5863.86,Verão
2024-01-02,Rash Guard,2,578.75,1736.25,Verão
2024-01-02,Chinelo,1,1547.64,2321.46,Verão
2024-01-02,Mochila Impermeável,4,1413.8,8482.8,Verão
2024-01-02,Prancha de Surf,5,955.41,7165.58,Verão
2024-01-02,Deck de Prancha,5,846.45,6348.38,Verão
2024-01-02,Óculos de Sol,3,968.11,4356.49,Verão
2024-01-02,Camisa UV,5,1335.15,10013.62,Verão
2024-01-02,Chinelo,1,1529.01,2293.51,Verão
2024-01-02,Cera para Prancha,2,1024.44,3073.32,Verão
2024-01-02,Óculos de Sol,5,1147.75,8608.12,Verão
2024-01-02,Bermuda de Surf,1,111.46,167.19,Verão
2024-01-02,Boné,5,1655.2,12414.0,Verão
2024-01-02,Capa de Prancha,3,1722.8,7752.6,Verão
2024-01-02,Leash,3,262.27,1180.21,Verão
